per1	p er1
per2	p er2
per3	p er3
per4	p er4
per5	p er5
per6	p er6
per7	p er7
per8	p er8
per9	p er9
perh1	p erh1
perh2	p erh2
perh3	p erh3
perh4	p erh4
perh5	p erh5
perh6	p erh6
perh7	p erh7
perh8	p erh8
perh9	p erh9
pir1	p ir1
pir2	p ir2
pir3	p ir3
pir4	p ir4
pir5	p ir5
pir6	p ir6
pir7	p ir7
pir8	p ir8
pir9	p ir9
pirh1	p irh1
pirh2	p irh2
pirh3	p irh3
pirh4	p irh4
pirh5	p irh5
pirh6	p irh6
pirh7	p irh7
pirh8	p irh8
pirh9	p irh9
pere1	p ere1
pere2	p ere2
pere3	p ere3
pere4	p ere4
pere5	p ere5
pere6	p ere6
pere7	p ere7
pere8	p ere8
pere9	p ere9
pereh1	p ereh1
pereh2	p ereh2
pereh3	p ereh3
pereh4	p ereh4
pereh5	p ereh5
pereh6	p ereh6
pereh7	p ereh7
pereh8	p ereh8
pereh9	p ereh9
pa1	p a1
pa2	p a2
pa3	p a3
pa4	p a4
pa5	p a5
pa6	p a6
pa7	p a7
pa8	p a8
pa9	p a9
pi1	p i1
pi2	p i2
pi3	p i3
pi4	p i4
pi5	p i5
pi6	p i6
pi7	p i7
pi8	p i8
pi9	p i9
pu1	p u1
pu2	p u2
pu3	p u3
pu4	p u4
pu5	p u5
pu6	p u6
pu7	p u7
pu8	p u8
pu9	p u9
pe1	p e1
pe2	p e2
pe3	p e3
pe4	p e4
pe5	p e5
pe6	p e6
pe7	p e7
pe8	p e8
pe9	p e9
po1	p o1
po2	p o2
po3	p o3
po4	p o4
po5	p o5
po6	p o6
po7	p o7
po8	p o8
po9	p o9
poo1	p oo1
poo2	p oo2
poo3	p oo3
poo4	p oo4
poo5	p oo5
poo6	p oo6
poo7	p oo7
poo8	p oo8
poo9	p oo9
pai1	p ai1
pai2	p ai2
pai3	p ai3
pai4	p ai4
pai5	p ai5
pai6	p ai6
pai7	p ai7
pai8	p ai8
pai9	p ai9
pau1	p au1
pau2	p au2
pau3	p au3
pau4	p au4
pau5	p au5
pau6	p au6
pau7	p au7
pau8	p au8
pau9	p au9
pia1	p ia1
pia2	p ia2
pia3	p ia3
pia4	p ia4
pia5	p ia5
pia6	p ia6
pia7	p ia7
pia8	p ia8
pia9	p ia9
piu1	p iu1
piu2	p iu2
piu3	p iu3
piu4	p iu4
piu5	p iu5
piu6	p iu6
piu7	p iu7
piu8	p iu8
piu9	p iu9
pio1	p io1
pio2	p io2
pio3	p io3
pio4	p io4
pio5	p io5
pio6	p io6
pio7	p io7
pio8	p io8
pio9	p io9
pua1	p ua1
pua2	p ua2
pua3	p ua3
pua4	p ua4
pua5	p ua5
pua6	p ua6
pua7	p ua7
pua8	p ua8
pua9	p ua9
pui1	p ui1
pui2	p ui2
pui3	p ui3
pui4	p ui4
pui5	p ui5
pui6	p ui6
pui7	p ui7
pui8	p ui8
pui9	p ui9
pue1	p ue1
pue2	p ue2
pue3	p ue3
pue4	p ue4
pue5	p ue5
pue6	p ue6
pue7	p ue7
pue8	p ue8
pue9	p ue9
piau1	p iau1
piau2	p iau2
piau3	p iau3
piau4	p iau4
piau5	p iau5
piau6	p iau6
piau7	p iau7
piau8	p iau8
piau9	p iau9
puai1	p uai1
puai2	p uai2
puai3	p uai3
puai4	p uai4
puai5	p uai5
puai6	p uai6
puai7	p uai7
puai8	p uai8
puai9	p uai9
pann1	p ann1
pann2	p ann2
pann3	p ann3
pann4	p ann4
pann5	p ann5
pann6	p ann6
pann7	p ann7
pann8	p ann8
pann9	p ann9
pinn1	p inn1
pinn2	p inn2
pinn3	p inn3
pinn4	p inn4
pinn5	p inn5
pinn6	p inn6
pinn7	p inn7
pinn8	p inn8
pinn9	p inn9
penn1	p enn1
penn2	p enn2
penn3	p enn3
penn4	p enn4
penn5	p enn5
penn6	p enn6
penn7	p enn7
penn8	p enn8
penn9	p enn9
ponn1	p onn1
ponn2	p onn2
ponn3	p onn3
ponn4	p onn4
ponn5	p onn5
ponn6	p onn6
ponn7	p onn7
ponn8	p onn8
ponn9	p onn9
painn1	p ainn1
painn2	p ainn2
painn3	p ainn3
painn4	p ainn4
painn5	p ainn5
painn6	p ainn6
painn7	p ainn7
painn8	p ainn8
painn9	p ainn9
paunn1	p aunn1
paunn2	p aunn2
paunn3	p aunn3
paunn4	p aunn4
paunn5	p aunn5
paunn6	p aunn6
paunn7	p aunn7
paunn8	p aunn8
paunn9	p aunn9
piann1	p iann1
piann2	p iann2
piann3	p iann3
piann4	p iann4
piann5	p iann5
